datetime,00060_Maximum,00060_Maximum_cd,site_no,00060_Minimum,00060_Minimum_cd,00060_Mean,00060_Mean_cd,00060_Observation at 24:00,00060_Observation at 24:00_cd
1996-10-01 00:00:00+00:00,37.0,A,08164390,29.0,A,33.0,A,,
1996-10-02 00:00:00+00:00,31.0,A,08164390,26.0,A,28.0,A,,
1996-10-03 00:00:00+00:00,27.0,A,08164390,22.0,A,24.0,A,,
1996-10-04 00:00:00+00:00,24.0,A,08164390,20.0,A,22.0,A,,
1996-10-05 00:00:00+00:00,21.0,A,08164390,18.0,A,20.0,A,,
1996-10-06 00:00:00+00:00,19.0,A,08164390,16.0,A,17.0,A,,
1996-10-07 00:00:00+00:00,16.0,A,08164390,15.0,A,15.0,A,,
1996-10-08 00:00:00+00:00,15.0,A,08164390,12.0,A,14.0,A,,
1996-10-09 00:00:00+00:00,13.0,A,08164390,11.0,A,12.0,A,,
1996-10-10 00:00:00+00:00,12.0,A,08164390,10.0,A,11.0,A,,
1996-10-11 00:00:00+00:00,12.0,A,08164390,9.8,A,11.0,A,,
1996-10-12 00:00:00+00:00,10.0,A,08164390,8.7,A,9.3,A,,
1996-10-13 00:00:00+00:00,9.4,A,08164390,8.0,A,8.7,A,,
1996-10-14 00:00:00+00:00,8.7,A,08164390,7.7,A,8.2,A,,
1996-10-15 00:00:00+00:00,8.3,A,08164390,7.0,A,7.6,A,,
1996-10-16 00:00:00+00:00,29.0,A,08164390,6.7,A,9.0,A,,
1996-10-17 00:00:00+00:00,9.0,A,08164390,7.7,A,8.3,A,,
1996-10-18 00:00:00+00:00,8.7,A,08164390,7.0,A,8.0,A,,
1996-10-19 00:00:00+00:00,8.0,A,08164390,6.7,A,7.4,A,,
1996-10-20 00:00:00+00:00,8.3,A,08164390,7.0,A,7.5,A,,
1996-10-21 00:00:00+00:00,7.7,A,08164390,6.4,A,7.1,A,,
1996-10-22 00:00:00+00:00,11.0,A,08164390,5.8,A,6.5,A,,
1996-10-23 00:00:00+00:00,6.7,A,08164390,5.4,A,6.0,A,,
1996-10-24 00:00:00+00:00,6.4,A,08164390,5.2,A,5.7,A,,
1996-10-25 00:00:00+00:00,7.7,A,08164390,5.9,A,6.2,A,,
1996-10-26 00:00:00+00:00,6.1,A,08164390,5.2,A,5.7,A,,
1996-10-27 00:00:00+00:00,46.0,A,08164390,5.0,A,14.0,A,,
1996-10-28 00:00:00+00:00,44.0,A,08164390,35.0,A,39.0,A,,
1996-10-29 00:00:00+00:00,37.0,A,08164390,19.0,A,27.0,A,,
1996-10-30 00:00:00+00:00,19.0,A,08164390,12.0,A,15.0,A,,
1996-10-31 00:00:00+00:00,13.0,A,08164390,11.0,A,12.0,A,,
1996-11-01 00:00:00+00:00,12.0,A,08164390,9.1,A,11.0,A,,
1996-11-02 00:00:00+00:00,9.4,A,08164390,8.2,A,8.8,A,,
1996-11-03 00:00:00+00:00,9.1,A,08164390,7.7,A,8.4,A,,
1996-11-04 00:00:00+00:00,7.9,A,08164390,6.9,A,7.4,A,,
1996-11-05 00:00:00+00:00,7.1,A,08164390,6.1,A,6.7,A,,
1996-11-06 00:00:00+00:00,6.4,A,08164390,5.4,A,5.8,A,,
1996-11-07 00:00:00+00:00,13.0,A,08164390,4.8,A,5.6,A,,
1996-11-08 00:00:00+00:00,5.4,A,08164390,4.6,A,5.1,A,,
1996-11-09 00:00:00+00:00,5.4,A,08164390,4.6,A,5.0,A,,
1996-11-10 00:00:00+00:00,5.7,A,08164390,5.0,A,5.3,A,,
1996-11-11 00:00:00+00:00,5.9,A,08164390,5.2,A,5.6,A,,
1996-11-12 00:00:00+00:00,6.1,A,08164390,5.4,A,5.7,A,,
1996-11-13 00:00:00+00:00,6.1,A,08164390,5.7,A,5.8,A,,
1996-11-14 00:00:00+00:00,6.1,A,08164390,5.4,A,5.8,A,,
1996-11-15 00:00:00+00:00,6.9,A,08164390,5.7,A,6.0,A,,
1996-11-16 00:00:00+00:00,6.6,A,08164390,5.7,A,6.1,A,,
1996-11-17 00:00:00+00:00,6.6,A,08164390,5.7,A,6.0,A,,
1996-11-18 00:00:00+00:00,6.1,A,08164390,5.7,A,5.9,A,,
1996-11-19 00:00:00+00:00,9.1,A,08164390,5.7,A,7.5,A,,
1996-11-20 00:00:00+00:00,8.2,A,08164390,7.1,A,7.5,A,,
1996-11-21 00:00:00+00:00,7.9,A,08164390,6.9,A,7.3,A,,
1996-11-22 00:00:00+00:00,7.4,A,08164390,6.4,A,6.8,A,,
1996-11-23 00:00:00+00:00,6.6,A,08164390,5.9,A,6.2,A,,
1996-11-24 00:00:00+00:00,69.0,A,08164390,6.1,A,29.0,A,,
1996-11-25 00:00:00+00:00,1310.0,A,08164390,69.0,A,618.0,A,,
1996-11-26 00:00:00+00:00,1310.0,A,08164390,210.0,A,694.0,A,,
1996-11-27 00:00:00+00:00,210.0,A,08164390,90.0,A,133.0,A,,
1996-11-28 00:00:00+00:00,91.0,A,08164390,59.0,A,72.0,A,,
1996-11-29 00:00:00+00:00,59.0,A,08164390,45.0,A,51.0,A,,
1996-11-30 00:00:00+00:00,46.0,A,08164390,36.0,A,40.0,A,,
1996-12-01 00:00:00+00:00,37.0,A,08164390,32.0,A,34.0,A,,
1996-12-02 00:00:00+00:00,32.0,A,08164390,28.0,A,30.0,A,,
1996-12-03 00:00:00+00:00,28.0,A,08164390,23.0,A,26.0,A,,
1996-12-04 00:00:00+00:00,24.0,A,08164390,20.0,A,22.0,A,,
1996-12-05 00:00:00+00:00,21.0,A,08164390,19.0,A,20.0,A,,
1996-12-06 00:00:00+00:00,19.0,A,08164390,17.0,A,18.0,A,,
1996-12-07 00:00:00+00:00,18.0,A,08164390,16.0,A,17.0,A,,
1996-12-08 00:00:00+00:00,17.0,A,08164390,16.0,A,16.0,A,,
1996-12-09 00:00:00+00:00,16.0,A,08164390,15.0,A,15.0,A,,
1996-12-10 00:00:00+00:00,15.0,A,08164390,13.0,A,14.0,A,,
1996-12-11 00:00:00+00:00,14.0,A,08164390,13.0,A,13.0,A,,
1996-12-12 00:00:00+00:00,13.0,A,08164390,12.0,A,12.0,A,,
1996-12-13 00:00:00+00:00,13.0,A,08164390,12.0,A,13.0,A,,
1996-12-14 00:00:00+00:00,13.0,A,08164390,12.0,A,12.0,A,,
1996-12-15 00:00:00+00:00,140.0,A,08164390,12.0,A,50.0,A,,
1996-12-16 00:00:00+00:00,1010.0,A,08164390,116.0,A,327.0,A,,
1996-12-17 00:00:00+00:00,1080.0,A,08164390,288.0,A,735.0,A,,
1996-12-18 00:00:00+00:00,288.0,A,08164390,120.0,A,184.0,A,,
1996-12-19 00:00:00+00:00,120.0,A,08164390,72.0,A,92.0,A,,
1996-12-20 00:00:00+00:00,73.0,A,08164390,51.0,A,60.0,A,,
1996-12-21 00:00:00+00:00,52.0,A,08164390,42.0,A,46.0,A,,
1996-12-22 00:00:00+00:00,42.0,A,08164390,35.0,A,38.0,A,,
1996-12-23 00:00:00+00:00,35.0,A,08164390,31.0,A,33.0,A,,
1996-12-24 00:00:00+00:00,31.0,A,08164390,27.0,A,29.0,A,,
1996-12-25 00:00:00+00:00,28.0,A,08164390,25.0,A,26.0,A,,
1996-12-26 00:00:00+00:00,26.0,A,08164390,23.0,A,25.0,A,,
1996-12-27 00:00:00+00:00,24.0,A,08164390,21.0,A,22.0,A,,
1996-12-28 00:00:00+00:00,22.0,A,08164390,20.0,A,21.0,A,,
1996-12-29 00:00:00+00:00,22.0,A,08164390,20.0,A,21.0,A,,
1996-12-30 00:00:00+00:00,21.0,A,08164390,19.0,A,20.0,A,,
1996-12-31 00:00:00+00:00,328.0,A,08164390,20.0,A,208.0,A,,
1997-01-01 00:00:00+00:00,568.0,A,08164390,256.0,A,398.0,A,,
1997-01-02 00:00:00+00:00,575.0,A,08164390,419.0,A,514.0,A,,
1997-01-03 00:00:00+00:00,419.0,A,08164390,155.0,A,250.0,A,,
1997-01-04 00:00:00+00:00,155.0,A,08164390,85.0,A,115.0,A,,
1997-01-05 00:00:00+00:00,86.0,A,08164390,56.0,A,69.0,A,,
1997-01-06 00:00:00+00:00,56.0,A,08164390,41.0,A,47.0,A,,
1997-01-07 00:00:00+00:00,41.0,A,08164390,33.0,A,36.0,A,,
1997-01-08 00:00:00+00:00,33.0,A,08164390,31.0,A,32.0,A,,
1997-01-09 00:00:00+00:00,794.0,A,08164390,31.0,A,231.0,A,,
1997-01-10 00:00:00+00:00,794.0,A,08164390,194.0,A,464.0,A,,
1997-01-11 00:00:00+00:00,194.0,A,08164390,85.0,A,125.0,A,,
1997-01-12 00:00:00+00:00,85.0,A,08164390,59.0,A,70.0,A,,
1997-01-13 00:00:00+00:00,59.0,A,08164390,49.0,A,54.0,A,,
1997-01-14 00:00:00+00:00,50.0,A,08164390,46.0,A,48.0,A,,
1997-01-15 00:00:00+00:00,47.0,A,08164390,43.0,A,45.0,A,,
1997-01-16 00:00:00+00:00,44.0,A,08164390,40.0,A,42.0,A,,
1997-01-17 00:00:00+00:00,44.0,A,08164390,41.0,A,43.0,A,,
1997-01-18 00:00:00+00:00,42.0,A,08164390,33.0,A,37.0,A,,
1997-01-19 00:00:00+00:00,34.0,A,08164390,29.0,A,31.0,A,,
1997-01-20 00:00:00+00:00,142.0,A,08164390,31.0,A,47.0,A,,
1997-01-21 00:00:00+00:00,3710.0,A,08164390,142.0,A,2060.0,A,,
1997-01-22 00:00:00+00:00,5350.0,A,08164390,3710.0,A,4540.0,A,,
1997-01-23 00:00:00+00:00,6560.0,A,08164390,5350.0,A,5970.0,A,,
1997-01-24 00:00:00+00:00,6690.0,A,08164390,842.0,A,4710.0,A,,
1997-01-25 00:00:00+00:00,842.0,A,08164390,341.0,A,491.0,A,,
1997-01-26 00:00:00+00:00,341.0,A,08164390,221.0,A,270.0,A,,
1997-01-27 00:00:00+00:00,221.0,A,08164390,169.0,A,193.0,A,,
1997-01-28 00:00:00+00:00,169.0,A,08164390,134.0,A,150.0,A,,
1997-01-29 00:00:00+00:00,135.0,A,08164390,108.0,A,120.0,A,,
1997-01-30 00:00:00+00:00,108.0,A,08164390,94.0,A,100.0,A,,
1997-01-31 00:00:00+00:00,94.0,A,08164390,86.0,A,90.0,A,,
1997-02-01 00:00:00+00:00,87.0,A,08164390,80.0,A,83.0,A,,
1997-02-02 00:00:00+00:00,80.0,A,08164390,74.0,A,77.0,A,,
1997-02-03 00:00:00+00:00,79.0,A,08164390,72.0,A,74.0,A,,
1997-02-04 00:00:00+00:00,75.0,A,08164390,67.0,A,71.0,A,,
1997-02-05 00:00:00+00:00,68.0,A,08164390,59.0,A,63.0,A,,
1997-02-06 00:00:00+00:00,59.0,A,08164390,53.0,A,57.0,A,,
1997-02-07 00:00:00+00:00,56.0,A,08164390,51.0,A,53.0,A,,
1997-02-08 00:00:00+00:00,56.0,A,08164390,51.0,A,53.0,A,,
1997-02-09 00:00:00+00:00,59.0,A,08164390,52.0,A,56.0,A,,
1997-02-10 00:00:00+00:00,52.0,A,08164390,46.0,A,49.0,A,,
1997-02-11 00:00:00+00:00,46.0,A,08164390,43.0,A,44.0,A,,
1997-02-12 00:00:00+00:00,417.0,A,08164390,42.0,A,79.0,A,,
1997-02-13 00:00:00+00:00,1620.0,A,08164390,417.0,A,1420.0,A,,
1997-02-14 00:00:00+00:00,1190.0,A,08164390,298.0,A,557.0,A,,
1997-02-15 00:00:00+00:00,298.0,A,08164390,148.0,A,213.0,A,,
1997-02-16 00:00:00+00:00,150.0,A,08164390,94.0,A,118.0,A,,
1997-02-17 00:00:00+00:00,94.0,A,08164390,70.0,A,81.0,A,,
1997-02-18 00:00:00+00:00,70.0,A,08164390,59.0,A,64.0,A,,
1997-02-19 00:00:00+00:00,59.0,A,08164390,51.0,A,54.0,A,,
1997-02-20 00:00:00+00:00,276.0,A,08164390,48.0,A,74.0,A,,
1997-02-21 00:00:00+00:00,2010.0,A,08164390,276.0,A,1550.0,A,,
1997-02-22 00:00:00+00:00,2640.0,A,08164390,2010.0,A,2360.0,A,,
1997-02-23 00:00:00+00:00,2640.0,A,08164390,318.0,A,1280.0,A,,
1997-02-24 00:00:00+00:00,318.0,A,08164390,187.0,A,240.0,A,,
1997-02-25 00:00:00+00:00,187.0,A,08164390,146.0,A,160.0,A,,
1997-02-26 00:00:00+00:00,174.0,A,08164390,146.0,A,158.0,A,,
1997-02-27 00:00:00+00:00,316.0,A,08164390,173.0,A,258.0,A,,
1997-02-28 00:00:00+00:00,225.0,A,08164390,148.0,A,183.0,A,,
1997-03-01 00:00:00+00:00,148.0,A,08164390,116.0,A,130.0,A,,
1997-03-02 00:00:00+00:00,118.0,A,08164390,100.0,A,109.0,A,,
1997-03-03 00:00:00+00:00,100.0,A,08164390,93.0,A,96.0,A,,
1997-03-04 00:00:00+00:00,94.0,A,08164390,78.0,A,85.0,A,,
1997-03-05 00:00:00+00:00,79.0,A,08164390,70.0,A,75.0,A,,
1997-03-06 00:00:00+00:00,71.0,A,08164390,62.0,A,67.0,A,,
1997-03-07 00:00:00+00:00,63.0,A,08164390,54.0,A,59.0,A,,
1997-03-08 00:00:00+00:00,55.0,A,08164390,50.0,A,52.0,A,,
1997-03-09 00:00:00+00:00,51.0,A,08164390,48.0,A,50.0,A,,
1997-03-10 00:00:00+00:00,51.0,A,08164390,0.0,A,49.0,A,,
1997-03-11 00:00:00+00:00,192.0,A,08164390,47.0,A,58.0,A,,
1997-03-12 00:00:00+00:00,6110.0,A,08164390,192.0,A,4010.0,A,,
1997-03-13 00:00:00+00:00,6710.0,A,08164390,5880.0,A,6460.0,A,,
1997-03-14 00:00:00+00:00,5880.0,A,08164390,781.0,A,2560.0,A,,
1997-03-15 00:00:00+00:00,781.0,A,08164390,360.0,A,523.0,A,,
1997-03-16 00:00:00+00:00,773.0,A,08164390,276.0,A,390.0,A,,
1997-03-17 00:00:00+00:00,6760.0,A,08164390,773.0,A,4570.0,A,,
1997-03-18 00:00:00+00:00,9110.0,A,08164390,6760.0,A,8060.0,A,,
1997-03-19 00:00:00+00:00,9340.0,A,08164390,8470.0,A,9100.0,A,,
1997-03-20 00:00:00+00:00,8450.0,A,08164390,952.0,A,4290.0,A,,
1997-03-21 00:00:00+00:00,952.0,A,08164390,485.0,A,667.0,A,,
1997-03-22 00:00:00+00:00,486.0,A,08164390,335.0,A,401.0,A,,
1997-03-23 00:00:00+00:00,336.0,A,08164390,256.0,A,292.0,A,,
1997-03-24 00:00:00+00:00,256.0,A,08164390,206.0,A,230.0,A,,
1997-03-25 00:00:00+00:00,1350.0,A,08164390,185.0,A,332.0,A,,
1997-03-26 00:00:00+00:00,3720.0,A,08164390,1350.0,A,3040.0,A,,
1997-03-27 00:00:00+00:00,2500.0,A,08164390,470.0,A,939.0,A,,
1997-03-28 00:00:00+00:00,472.0,A,08164390,292.0,A,367.0,A,,
1997-03-29 00:00:00+00:00,292.0,A,08164390,206.0,A,245.0,A,,
1997-03-30 00:00:00+00:00,207.0,A,08164390,158.0,A,180.0,A,,
1997-03-31 00:00:00+00:00,357.0,A,08164390,158.0,A,247.0,A,,
1997-04-01 00:00:00+00:00,432.0,A,08164390,137.0,A,216.0,A,,
1997-04-02 00:00:00+00:00,3330.0,A,08164390,432.0,A,1680.0,A,,
1997-04-03 00:00:00+00:00,5880.0,A,08164390,3330.0,A,4870.0,A,,
1997-04-04 00:00:00+00:00,8390.0,A,08164390,5880.0,A,7380.0,A,,
1997-04-05 00:00:00+00:00,9190.0,A,08164390,8340.0,A,8850.0,A,,
1997-04-06 00:00:00+00:00,8760.0,A,08164390,7620.0,A,8300.0,A,,
1997-04-07 00:00:00+00:00,7620.0,A,08164390,950.0,A,4380.0,A,,
1997-04-08 00:00:00+00:00,950.0,A,08164390,469.0,A,648.0,A,,
1997-04-09 00:00:00+00:00,469.0,A,08164390,338.0,A,394.0,A,,
1997-04-10 00:00:00+00:00,338.0,A,08164390,270.0,A,300.0,A,,
1997-04-11 00:00:00+00:00,5910.0,A,08164390,270.0,A,3110.0,A,,
1997-04-12 00:00:00+00:00,10000.0,A,08164390,5910.0,A,8420.0,A,,
1997-04-13 00:00:00+00:00,9650.0,A,08164390,2190.0,A,6960.0,A,,
1997-04-14 00:00:00+00:00,2190.0,A,08164390,512.0,A,845.0,A,,
1997-04-15 00:00:00+00:00,512.0,A,08164390,340.0,A,413.0,A,,
1997-04-16 00:00:00+00:00,340.0,A,08164390,259.0,A,294.0,A,,
1997-04-17 00:00:00+00:00,259.0,A,08164390,210.0,A,234.0,A,,
1997-04-18 00:00:00+00:00,217.0,A,08164390,185.0,A,201.0,A,,
1997-04-19 00:00:00+00:00,195.0,A,08164390,168.0,A,180.0,A,,
1997-04-20 00:00:00+00:00,201.0,A,08164390,164.0,A,180.0,A,,
1997-04-21 00:00:00+00:00,203.0,A,08164390,156.0,A,178.0,A,,
1997-04-22 00:00:00+00:00,181.0,A,08164390,135.0,A,157.0,A,,
1997-04-23 00:00:00+00:00,161.0,A,08164390,112.0,A,139.0,A,,
1997-04-24 00:00:00+00:00,130.0,A,08164390,105.0,A,118.0,A,,
1997-04-25 00:00:00+00:00,116.0,A,08164390,101.0,A,110.0,A,,
1997-04-26 00:00:00+00:00,137.0,A,08164390,99.0,A,115.0,A,,
1997-04-27 00:00:00+00:00,1630.0,A,08164390,136.0,A,1160.0,A,,
1997-04-28 00:00:00+00:00,1580.0,A,08164390,282.0,A,691.0,A,,
1997-04-29 00:00:00+00:00,288.0,A,08164390,160.0,A,221.0,A,,
1997-04-30 00:00:00+00:00,184.0,A,08164390,131.0,A,152.0,A,,
1997-05-01 00:00:00+00:00,150.0,A,08164390,110.0,A,125.0,A,,
1997-05-02 00:00:00+00:00,127.0,A,08164390,102.0,A,112.0,A,,
1997-05-03 00:00:00+00:00,112.0,A,08164390,91.0,A,102.0,A,,
1997-05-04 00:00:00+00:00,109.0,A,08164390,81.0,A,93.0,A,,
1997-05-05 00:00:00+00:00,100.0,A,08164390,74.0,A,85.0,A,,
1997-05-06 00:00:00+00:00,97.0,A,08164390,70.0,A,78.0,A,,
1997-05-07 00:00:00+00:00,82.0,A,08164390,67.0,A,74.0,A,,
1997-05-08 00:00:00+00:00,93.0,A,08164390,60.0,A,72.0,A,,
1997-05-09 00:00:00+00:00,2260.0,A,08164390,65.0,A,518.0,A,,
1997-05-10 00:00:00+00:00,3200.0,A,08164390,1710.0,A,2700.0,A,,
1997-05-11 00:00:00+00:00,1710.0,A,08164390,554.0,A,918.0,A,,
1997-05-12 00:00:00+00:00,558.0,A,08164390,279.0,A,396.0,A,,
1997-05-13 00:00:00+00:00,295.0,A,08164390,158.0,A,213.0,A,,
1997-05-14 00:00:00+00:00,168.0,A,08164390,114.0,A,139.0,A,,
1997-05-15 00:00:00+00:00,141.0,A,08164390,96.0,A,112.0,A,,
1997-05-16 00:00:00+00:00,1890.0,A,08164390,97.0,A,593.0,A,,
1997-05-17 00:00:00+00:00,2730.0,A,08164390,1890.0,A,2550.0,A,,
1997-05-18 00:00:00+00:00,2600.0,A,08164390,1000.0,A,1770.0,A,,
1997-05-19 00:00:00+00:00,1000.0,A,08164390,309.0,A,513.0,A,,
1997-05-20 00:00:00+00:00,309.0,A,08164390,240.0,A,269.0,A,,
1997-05-21 00:00:00+00:00,431.0,A,08164390,251.0,A,289.0,A,,
1997-05-22 00:00:00+00:00,2760.0,A,08164390,431.0,A,1590.0,A,,
1997-05-23 00:00:00+00:00,4890.0,A,08164390,2760.0,A,3990.0,A,,
1997-05-24 00:00:00+00:00,4890.0,A,08164390,2920.0,A,3970.0,A,,
1997-05-25 00:00:00+00:00,4890.0,A,08164390,2970.0,A,4220.0,A,,
1997-05-26 00:00:00+00:00,4680.0,A,08164390,1480.0,A,3500.0,A,,
1997-05-27 00:00:00+00:00,1480.0,A,08164390,479.0,A,740.0,A,,
1997-05-28 00:00:00+00:00,488.0,A,08164390,365.0,A,421.0,A,,
1997-05-29 00:00:00+00:00,1340.0,A,08164390,402.0,A,1070.0,A,,
1997-05-30 00:00:00+00:00,1130.0,A,08164390,288.0,A,522.0,A,,
1997-05-31 00:00:00+00:00,1220.0,A,08164390,254.0,A,444.0,A,,
1997-06-01 00:00:00+00:00,1250.0,A,08164390,465.0,A,810.0,A,,
1997-06-02 00:00:00+00:00,472.0,A,08164390,247.0,A,347.0,A,,
1997-06-03 00:00:00+00:00,247.0,A,08164390,158.0,A,204.0,A,,
1997-06-04 00:00:00+00:00,180.0,A,08164390,123.0,A,147.0,A,,
1997-06-05 00:00:00+00:00,155.0,A,08164390,110.0,A,124.0,A,,
1997-06-06 00:00:00+00:00,178.0,A,08164390,106.0,A,123.0,A,,
1997-06-07 00:00:00+00:00,2330.0,A,08164390,109.0,A,961.0,A,,
1997-06-08 00:00:00+00:00,3630.0,A,08164390,2330.0,A,2890.0,A,,
1997-06-09 00:00:00+00:00,5800.0,A,08164390,3630.0,A,4770.0,A,,
1997-06-10 00:00:00+00:00,7370.0,A,08164390,5740.0,A,6690.0,A,,
1997-06-11 00:00:00+00:00,6380.0,A,08164390,676.0,A,2420.0,A,,
1997-06-12 00:00:00+00:00,700.0,A,08164390,366.0,A,498.0,A,,
1997-06-13 00:00:00+00:00,368.0,A,08164390,281.0,A,320.0,A,,
1997-06-14 00:00:00+00:00,281.0,A,08164390,227.0,A,252.0,A,,
1997-06-15 00:00:00+00:00,228.0,A,08164390,194.0,A,211.0,A,,
1997-06-16 00:00:00+00:00,195.0,A,08164390,170.0,A,182.0,A,,
1997-06-17 00:00:00+00:00,170.0,A,08164390,155.0,A,163.0,A,,
1997-06-18 00:00:00+00:00,270.0,A,08164390,153.0,A,183.0,A,,
1997-06-19 00:00:00+00:00,877.0,A,08164390,232.0,A,481.0,A,,
1997-06-20 00:00:00+00:00,662.0,A,08164390,270.0,A,413.0,A,,
1997-06-21 00:00:00+00:00,4140.0,A,08164390,217.0,A,807.0,A,,
1997-06-22 00:00:00+00:00,13200.0,A,08164390,4140.0,A,8970.0,A,,
1997-06-23 00:00:00+00:00,12800.0,A,08164390,8040.0,A,10300.0,A,,
1997-06-24 00:00:00+00:00,8060.0,A,08164390,1040.0,A,3970.0,A,,
1997-06-25 00:00:00+00:00,1040.0,A,08164390,589.0,A,766.0,A,,
1997-06-26 00:00:00+00:00,624.0,A,08164390,427.0,A,512.0,A,,
1997-06-27 00:00:00+00:00,690.0,A,08164390,481.0,A,564.0,A,,
1997-06-28 00:00:00+00:00,483.0,A,08164390,311.0,A,381.0,A,,
1997-06-29 00:00:00+00:00,313.0,A,08164390,250.0,A,278.0,A,,
1997-06-30 00:00:00+00:00,254.0,A,08164390,218.0,A,235.0,A,,
1997-07-01 00:00:00+00:00,220.0,A,08164390,170.0,A,198.0,A,,
1997-07-02 00:00:00+00:00,192.0,A,08164390,164.0,A,178.0,A,,
1997-07-03 00:00:00+00:00,174.0,A,08164390,151.0,A,166.0,A,,
1997-07-04 00:00:00+00:00,158.0,A,08164390,136.0,A,147.0,A,,
1997-07-05 00:00:00+00:00,141.0,A,08164390,113.0,A,130.0,A,,
1997-07-06 00:00:00+00:00,125.0,A,08164390,100.0,A,116.0,A,,
1997-07-07 00:00:00+00:00,115.0,A,08164390,91.0,A,101.0,A,,
1997-07-08 00:00:00+00:00,105.0,A,08164390,85.0,A,95.0,A,,
1997-07-09 00:00:00+00:00,96.0,A,08164390,77.0,A,90.0,A,,
1997-07-10 00:00:00+00:00,111.0,A,08164390,84.0,A,94.0,A,,
1997-07-11 00:00:00+00:00,95.0,A,08164390,71.0,A,83.0,A,,
1997-07-12 00:00:00+00:00,81.0,A,08164390,65.0,A,74.0,A,,
1997-07-13 00:00:00+00:00,80.0,A,08164390,61.0,A,68.0,A,,
1997-07-14 00:00:00+00:00,80.0,A,08164390,58.0,A,65.0,A,,
1997-07-15 00:00:00+00:00,70.0,A,08164390,56.0,A,62.0,A,,
1997-07-16 00:00:00+00:00,72.0,A,08164390,55.0,A,60.0,A,,
1997-07-17 00:00:00+00:00,69.0,A,08164390,53.0,A,59.0,A,,
1997-07-18 00:00:00+00:00,64.0,A,08164390,49.0,A,56.0,A,,
1997-07-19 00:00:00+00:00,66.0,A,08164390,45.0,A,51.0,A,,
1997-07-20 00:00:00+00:00,62.0,A,08164390,42.0,A,48.0,A,,
1997-07-21 00:00:00+00:00,69.0,A,08164390,44.0,A,50.0,A,,
1997-07-22 00:00:00+00:00,59.0,A,08164390,41.0,A,47.0,A,,
1997-07-23 00:00:00+00:00,56.0,A,08164390,42.0,A,48.0,A,,
1997-07-24 00:00:00+00:00,47.0,A,08164390,40.0,A,44.0,A,,
1997-07-25 00:00:00+00:00,48.0,A,08164390,38.0,A,43.0,A,,
1997-07-26 00:00:00+00:00,50.0,A,08164390,38.0,A,42.0,A,,
1997-07-27 00:00:00+00:00,51.0,A,08164390,37.0,A,41.0,A,,
1997-07-28 00:00:00+00:00,41.0,A,08164390,34.0,A,38.0,A,,
1997-07-29 00:00:00+00:00,40.0,A,08164390,32.0,A,36.0,A,,
1997-07-30 00:00:00+00:00,38.0,A,08164390,29.0,A,34.0,A,,
1997-07-31 00:00:00+00:00,38.0,A,08164390,28.0,A,32.0,A,,
1997-08-01 00:00:00+00:00,35.0,A,08164390,27.0,A,30.0,A,,
1997-08-02 00:00:00+00:00,33.0,A,08164390,27.0,A,31.0,A,,
1997-08-03 00:00:00+00:00,33.0,A,08164390,28.0,A,31.0,A,,
1997-08-04 00:00:00+00:00,46.0,A,08164390,27.0,A,31.0,A,,
1997-08-05 00:00:00+00:00,40.0,A,08164390,27.0,A,31.0,A,,
1997-08-06 00:00:00+00:00,42.0,A,08164390,27.0,A,31.0,A,,
1997-08-07 00:00:00+00:00,34.0,A,08164390,25.0,A,31.0,A,,
1997-08-08 00:00:00+00:00,35.0,A,08164390,31.0,A,33.0,A,,
1997-08-09 00:00:00+00:00,35.0,A,08164390,29.0,A,32.0,A,,
1997-08-10 00:00:00+00:00,48.0,A,08164390,35.0,A,37.0,A,,
1997-08-11 00:00:00+00:00,38.0,A,08164390,36.0,A,37.0,A,,
1997-08-12 00:00:00+00:00,36.0,A,08164390,28.0,A,33.0,A,,
1997-08-13 00:00:00+00:00,29.0,A,08164390,25.0,A,26.0,A,,
1997-08-14 00:00:00+00:00,26.0,A,08164390,23.0,A,25.0,A,,
1997-08-15 00:00:00+00:00,24.0,A,08164390,21.0,A,22.0,A,,
1997-08-16 00:00:00+00:00,21.0,A,08164390,19.0,A,20.0,A,,
1997-08-17 00:00:00+00:00,19.0,A,08164390,18.0,A,19.0,A,,
1997-08-18 00:00:00+00:00,19.0,A,08164390,16.0,A,17.0,A,,
1997-08-19 00:00:00+00:00,17.0,A,08164390,15.0,A,16.0,A,,
1997-08-20 00:00:00+00:00,17.0,A,08164390,14.0,A,15.0,A,,
1997-08-21 00:00:00+00:00,15.0,A,08164390,13.0,A,14.0,A,,
1997-08-22 00:00:00+00:00,14.0,A,08164390,12.0,A,13.0,A,,
1997-08-23 00:00:00+00:00,15.0,A,08164390,12.0,A,14.0,A,,
1997-08-24 00:00:00+00:00,15.0,A,08164390,14.0,A,15.0,A,,
1997-08-25 00:00:00+00:00,21.0,A,08164390,13.0,A,15.0,A,,
1997-08-26 00:00:00+00:00,21.0,A,08164390,19.0,A,20.0,A,,
1997-08-27 00:00:00+00:00,21.0,A,08164390,18.0,A,19.0,A,,
1997-08-28 00:00:00+00:00,19.0,A,08164390,15.0,A,17.0,A,,
1997-08-29 00:00:00+00:00,16.0,A,08164390,14.0,A,15.0,A,,
1997-08-30 00:00:00+00:00,15.0,A,08164390,12.0,A,13.0,A,,
1997-08-31 00:00:00+00:00,13.0,A,08164390,12.0,A,13.0,A,,
1997-09-01 00:00:00+00:00,13.0,A,08164390,12.0,A,12.0,A,,
